emp_combined,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70
0.00518,0.0033399999999999997,0.00421,0.00762,0.00462
0.00542,0.00337,0.0042899999999999995,0.00809,0.0049299999999999995
0.00563,0.00336,0.00435,0.00854,0.00524
0.0058200000000000005,0.0033200000000000005,0.00439,0.00897,0.00557
0.006,0.00328,0.00443,0.00937,0.00592
0.00617,0.00325,0.00446,0.00974,0.00626
0.00633,0.00323,0.00449,0.0101,0.006640000000000001
0.006509999999999999,0.00322,0.00455,0.0105,0.00705
0.00671,0.00321,0.00463,0.0109,0.007540000000000001
0.00692,0.00323,0.00476,0.0113,0.008029999999999999
0.00716,0.0032700000000000003,0.00494,0.0117,0.00851
0.00743,0.0033399999999999997,0.00518,0.0121,0.00897
0.007679999999999999,0.0034,0.00547,0.0125,0.00926
0.00796,0.0034799999999999996,0.00581,0.0129,0.00952
0.00825,0.00358,0.00619,0.0133,0.00974
0.0086,0.0037700000000000003,0.00659,0.0138,0.0101
0.00894,0.0039700000000000004,0.0069900000000000006,0.0142,0.0105
0.00927,0.00417,0.007370000000000001,0.0146,0.0108
0.0096,0.004370000000000001,0.00773,0.0149,0.0111
0.009940000000000001,0.00458,0.00807,0.0152,0.0114
0.0103,0.0048200000000000005,0.00838,0.0156,0.0118
0.0107,0.00507,0.00868,0.0159,0.0122
0.011000000000000001,0.0052899999999999996,0.00896,0.0162,0.0125
0.0113,0.00551,0.00923,0.0164,0.0127
0.0117,0.00572,0.00949,0.0167,0.013000000000000001
0.012,0.00588,0.009729999999999999,0.017,0.0132
0.0123,0.00599,0.009940000000000001,0.0172,0.0135
0.0126,0.00604,0.0101,0.0174,0.0137
0.0128,0.00604,0.0103,0.0176,0.0139
0.013000000000000001,0.00599,0.0104,0.0178,0.013999999999999999
0.0131,0.0059,0.0105,0.0179,0.0142
0.0133,0.0057799999999999995,0.0106,0.018000000000000002,0.0143
0.0133,0.00562,0.0107,0.018000000000000002,0.0144
0.0134,0.00542,0.0107,0.018000000000000002,0.0145
0.0134,0.005229999999999999,0.0108,0.0179,0.0146
0.0134,0.00504,0.0108,0.0179,0.0146
0.0133,0.00485,0.0109,0.0177,0.0145
0.0132,0.00465,0.0109,0.0175,0.0143
0.0131,0.00442,0.0109,0.0173,0.0139
0.0129,0.00417,0.0109,0.017,0.0131
0.0125,0.0038399999999999997,0.0108,0.0166,0.012
0.012,0.00339,0.0106,0.0161,0.0105
0.0113,0.00281,0.0103,0.0154,0.00829
0.0104,0.0020399999999999997,0.00987,0.0144,0.00534
0.009179999999999999,0.00105,0.00923,0.0132,0.0014199999999999998
0.007559999999999999,-0.00021899999999999998,0.00836,0.0117,-0.00365
0.0054,-0.0019199999999999998,0.0070799999999999995,0.00969,-0.0101
0.0026100000000000003,-0.0041600000000000005,0.00533,0.00715,-0.0182
-0.000826,-0.00686,0.00312,0.00403,-0.027999999999999997
-0.00495,-0.0101,0.000425,0.000278,-0.0396
-0.00983,-0.0138,-0.00279,-0.00417,-0.0531
-0.0155,-0.0182,-0.006540000000000001,-0.00938,-0.0687
-0.022000000000000002,-0.0233,-0.0108,-0.0154,-0.0862
-0.0293,-0.028999999999999998,-0.0156,-0.0223,-0.106
