gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces
0.0529,0.0157,0.121,0.03,0.0214
0.0614,0.0229,0.13,0.0357,0.0243
0.0686,0.0286,0.127,0.0386,0.0243
0.0771,0.0371,0.12,0.0414,0.0257
0.0843,0.0443,0.121,0.0429,0.0257
0.0943,0.0571,0.13699999999999998,0.0443,0.0257
0.0957,0.0629,0.154,0.0429,0.0271
0.0957,0.0686,0.16699999999999998,0.04,0.0286
0.0914,0.0686,0.17,0.0357,0.0286
0.0886,0.07,0.18100000000000002,0.0357,0.03
0.0843,0.0671,0.213,0.0329,0.0286
0.0829,0.0671,0.243,0.0286,0.0243
0.0757,0.0629,0.24,0.02,0.0186
0.0757,0.0686,0.253,0.0143,0.0129
0.0729,0.0914,0.25,0.00286,0.0042899999999999995
0.0686,0.124,0.239,-0.0143,-0.00857
0.0457,0.139,0.201,-0.0386,-0.0171
0.0186,0.146,0.151,-0.0643,-0.03
-0.00143,0.16699999999999998,0.106,-0.0943,-0.0586
-0.0357,0.177,0.0914,-0.127,-0.0943
-0.0814,0.174,0.0629,-0.16699999999999998,-0.13699999999999998
-0.13,0.151,0.0386,-0.21,-0.18
-0.179,0.121,0.03,-0.249,-0.221
-0.22699999999999998,0.0929,0.0214,-0.28600000000000003,-0.254
-0.27699999999999997,0.0571,-0.00286,-0.33,-0.289
-0.32,0.0129,-0.0343,-0.366,-0.319
-0.35,-0.0243,-0.06,-0.39399999999999996,-0.344
-0.373,-0.0571,-0.0786,-0.419,-0.366
-0.39,-0.0871,-0.0771,-0.436,-0.386
-0.40399999999999997,-0.11699999999999999,-0.0843,-0.45299999999999996,-0.4
-0.41600000000000004,-0.141,-0.11599999999999999,-0.47100000000000003,-0.414
-0.42,-0.154,-0.126,-0.48100000000000004,-0.424
-0.423,-0.166,-0.114,-0.486,-0.434
-0.424,-0.171,-0.12300000000000001,-0.49,-0.44
-0.42,-0.166,-0.12300000000000001,-0.491,-0.444
-0.42,-0.161,-0.14,-0.496,-0.449
-0.42,-0.156,-0.16,-0.499,-0.45399999999999996
-0.42,-0.15,-0.159,-0.5,-0.45899999999999996
-0.423,-0.147,-0.16,-0.504,-0.461
-0.426,-0.14400000000000002,-0.153,-0.507,-0.46399999999999997
-0.429,-0.141,-0.133,-0.51,-0.467
-0.436,-0.147,-0.131,-0.514,-0.47
-0.44,-0.15,-0.149,-0.519,-0.473
-0.441,-0.151,-0.149,-0.523,-0.48100000000000004
-0.43700000000000006,-0.14,-0.13699999999999998,-0.521,-0.483
-0.457,-0.16699999999999998,-0.16,-0.524,-0.49
-0.461,-0.17600000000000002,-0.19,-0.529,-0.491
-0.45899999999999996,-0.179,-0.209,-0.527,-0.49
-0.45,-0.17600000000000002,-0.223,-0.524,-0.48700000000000004
-0.444,-0.17600000000000002,-0.213,-0.519,-0.483
-0.44299999999999995,-0.18100000000000002,-0.214,-0.514,-0.47100000000000003
-0.44299999999999995,-0.193,-0.22,-0.511,-0.46399999999999997
-0.41700000000000004,-0.16399999999999998,-0.183,-0.503,-0.45299999999999996
-0.409,-0.156,-0.149,-0.494,-0.449
-0.406,-0.153,-0.139,-0.493,-0.447
-0.409,-0.154,-0.129,-0.491,-0.447
-0.41,-0.156,-0.129,-0.491,-0.447
-0.40700000000000003,-0.154,-0.11699999999999999,-0.49,-0.447
-0.401,-0.149,-0.0857,-0.483,-0.446
-0.397,-0.14400000000000002,-0.0871,-0.48,-0.444
-0.391,-0.14,-0.0829,-0.479,-0.441
-0.386,-0.134,-0.0629,-0.473,-0.44
-0.38,-0.13,-0.06,-0.47,-0.43700000000000006
-0.371,-0.12300000000000001,-0.05,-0.466,-0.434
-0.36,-0.11,-0.02,-0.456,-0.43
-0.35,-0.1,0.0171,-0.446,-0.426
-0.33899999999999997,-0.0886,0.0643,-0.434,-0.419
-0.33,-0.08,0.0771,-0.429,-0.41600000000000004
-0.321,-0.07,0.0757,-0.426,-0.41100000000000003
-0.314,-0.0629,0.0943,-0.42100000000000004,-0.40700000000000003
-0.307,-0.0543,0.134,-0.414,-0.40299999999999997
-0.307,-0.0514,0.121,-0.414,-0.4
-0.301,-0.0357,0.0943,-0.414,-0.396
-0.29600000000000004,-0.0229,0.0714,-0.41,-0.39
-0.299,-0.0286,0.06,-0.41,-0.387
-0.299,-0.0329,0.0671,-0.40700000000000003,-0.384
-0.294,-0.0314,0.0843,-0.40299999999999997,-0.381
-0.293,-0.0343,0.0786,-0.40299999999999997,-0.38
-0.289,-0.0371,0.111,-0.39899999999999997,-0.379
-0.289,-0.0514,0.14400000000000002,-0.397,-0.376
-0.289,-0.0643,0.16,-0.4,-0.373
