spend_all,spend_apg,spend_aer,spend_grf,spend_hcs,spend_acf,spend_tws,spend_retail_no_grocery,spend_retail_w_grocery
-0.00301,-0.00315,-0.0335,0.0113,-0.0262,-0.0041,0.00912,0.000825,0.0044399999999999995
-0.00043499999999999995,-0.00432,-0.0511,0.0124,0.00826,-0.0018800000000000002,-0.00121,0.00268,0.00609
0.0154,-0.00182,0.033,0.0148,0.0388,-0.000584,0.009059999999999999,0.00359,0.00757
0.0227,-0.00032900000000000003,0.044000000000000004,0.0201,0.0358,0.00295,0.0186,0.00614,0.0112
0.00132,-0.0168,0.0248,-0.0138,0.0229,-0.0051,0.0164,-0.012,-0.0126
0.0013,-0.0201,0.0466,-0.0264,0.0188,-0.00728,0.0134,-0.0138,-0.0183
0.011000000000000001,-0.0139,0.0515,-0.017,0.0152,0.00372,0.0125,-0.00897,-0.0116
0.0252,-0.00151,0.0509,0.012,0.0158,0.0109,0.0337,0.00454,0.007409999999999999
0.0124,-0.0124,0.0404,-0.0018100000000000002,0.0258,0.00118,0.0172,-0.0049,-0.00361
-0.000322,-0.0229,-0.0362,-0.0209,0.0272,-0.0145,0.0107,-0.0131,-0.0157
-0.0132,-0.0177,-0.0283,-0.0296,0.0131,-0.0138,0.00266,-0.0142,-0.0195
0.00945,0.00242,0.0035600000000000002,0.00535,0.0198,0.0065,0.00598,0.00543,0.0055
0.0173,0.0192,0.0123,0.0256,0.0118,0.0174,0.009609999999999999,0.0145,0.0183
0.0052899999999999996,0.00343,-0.00458,0.00927,0.00434,-0.000177,0.00829,0.00435,0.00599
-0.00875,-0.00813,-7.15e-05,-0.0246,0.00108,-0.00674,-0.0124,-0.00547,-0.0123
-0.0123,-0.00404,0.00563,-0.0351,-0.00335,-0.0036799999999999997,-0.0123,-0.00185,-0.0136
-0.00813,0.018000000000000002,0.0188,-0.00828,-0.0503,0.0231,-0.0145,0.008329999999999999,0.00251
0.00565,0.0261,0.00967,0.0119,-0.027999999999999997,0.0276,-0.0141,0.0161,0.0147
0.0098,0.0324,0.0154,0.0223,-0.0211,0.0207,-0.008329999999999999,0.0175,0.0193
-0.000368,0.0262,-0.0135,0.0209,-0.0154,0.013999999999999999,-0.0104,0.0144,0.0168
-0.0136,0.012,-0.0294,0.0008539999999999999,-0.00521,0.0037,-0.0291,0.0052,0.0036200000000000004
-0.00822,0.0103,-0.000549,-0.0108,-0.0363,0.00517,-0.00996,0.000598,-0.0036899999999999997
0.0013800000000000002,0.0113,0.0117,0.00426,-0.0334,0.0038,-0.00474,0.00148,0.00225
0.0016600000000000002,-0.00895,-0.0152,0.0121,-0.00315,-0.00835,-0.0174,-0.00221,0.00263
-0.007940000000000001,-0.0312,-0.00507,-0.01,-0.00836,-0.0252,-0.0303,-0.0181,-0.0156
-0.00893,-0.0273,0.0158,-0.0213,-0.004529999999999999,-0.0364,-0.0362,-0.019,-0.0203
0.00299,-0.0151,0.0394,-0.00878,0.00196,-0.0289,-0.0362,-0.00998,-0.0101
0.013000000000000001,-0.0146,0.0565,0.0127,0.00409,-0.0199,-0.0237,-0.00834,-0.00143
0.00515,-0.0179,0.0243,0.03,0.0466,-0.0265,-0.0449,-0.00346,0.007809999999999999
-0.00415,-0.0145,0.0112,0.0219,0.0108,-0.0332,-0.047,-0.009009999999999999,0.00141
0.00525,0.0055,0.0519,0.0258,0.0311,-0.0272,-0.0313,0.0031899999999999997,0.0108
0.00863,0.00953,0.0542,0.0292,0.0245,-0.0219,-0.0251,0.00842,0.0154
0.00248,-0.0008960000000000001,0.0343,0.0146,0.0161,-0.0327,-0.0245,0.0036,0.00704
-0.0035,-0.0144,0.0275,0.00642,0.00734,-0.032,-0.0276,-0.0008849999999999999,0.00137
-0.00046399999999999995,-0.00621,0.0253,0.0139,0.00195,-0.0158,-0.0296,0.007370000000000001,0.00954
0.00836,-0.0019199999999999998,0.0359,0.0259,-0.0151,-0.0185,-0.0313,0.00845,0.0145
0.0022600000000000003,-0.0122,0.0281,0.0103,-0.0199,-0.0221,-0.0376,-0.000174,0.0034700000000000004
-0.00024300000000000002,-0.0278,0.0269,-0.0112,-0.0263,-0.0319,-0.0458,-0.0112,-0.0112
0.000762,-0.0098,0.0136,0.00157,-0.016,-0.0212,-0.0458,0.00278,0.00247
0.00386,-0.00785,-0.0084,0.0202,-0.00825,0.00469,-0.0498,0.0064,0.0113
0.000515,-0.0122,-0.0152,-8.53e-06,-0.00505,-0.00405,-0.0536,-0.00201,-0.00117
0.00015,-0.0111,-0.0136,-0.00418,0.00281,-0.0162,-0.0526,-0.0027300000000000002,-0.00312
-0.00509,-0.0148,-0.0281,-0.00969,-0.0211,-0.0124,-0.0651,-0.0016,-0.0045
-0.0102,-0.0155,-0.0304,-0.00413,0.0177,-0.0225,-0.0814,0.0018800000000000002,-0.00043799999999999997
-0.0118,-0.009470000000000001,-0.0516,0.0193,-0.00292,-0.0101,-0.0878,0.0023,0.007809999999999999
