merchants_all,merchants_ss40,merchants_ss60,merchants_ss65,merchants_ss70
-0.00689,-0.00576,-0.00921,-0.00734,-0.00483
-0.00854,-0.007490000000000001,-0.0102,-0.00873,-0.00554
-0.0101,-0.00955,-0.0107,-0.0101,-0.0067599999999999995
-0.0111,-0.0105,-0.011000000000000001,-0.011000000000000001,-0.00762
-0.00864,-0.00804,-0.0091,-0.00864,-0.00485
-0.00513,-0.004379999999999999,-0.006,-0.006690000000000001,-0.00133
-0.00395,-0.00335,-0.00761,-0.00484,0.000165
-0.0012900000000000001,-0.0010400000000000001,-0.00471,-0.00545,0.00262
-0.0016600000000000002,-0.0018800000000000002,-0.00264,-0.0033799999999999998,0.0021
-0.0034,-0.00279,-0.00601,-0.0037,0.000727
-0.00203,-0.00108,-0.00237,-0.0016899999999999999,0.00151
-0.00074,0.00044699999999999997,-0.000408,-0.0016,0.00143
0.002,0.0036899999999999997,0.00109,0.000155,0.0030399999999999997
-0.000788,0.000367,-0.00389,-0.000665,0.00123
-0.0051600000000000005,-0.00425,0.0009429999999999999,-0.0026,-0.0050799999999999994
-0.0045899999999999995,-0.0031,-0.00344,-0.000933,-0.0042899999999999995
-0.00313,-0.00212,-0.0036200000000000004,0.000949,-0.0033799999999999998
0.00589,0.00494,0.00246,0.00928,0.0027199999999999998
0.0103,0.00817,0.00265,0.0135,0.00585
0.0102,0.00939,0.00224,0.013999999999999999,0.00495
0.009009999999999999,0.00946,-0.0038,0.0126,0.004379999999999999
0.0137,0.0119,0.00506,0.0147,0.0068
0.013000000000000001,0.011000000000000001,0.00705,0.0134,0.00617
0.00824,0.00646,0.00266,0.0072,0.00371
-0.004,-0.00524,-0.0071200000000000005,-0.00318,-0.00435
-0.009640000000000001,-0.00972,-0.00984,-0.0076,-0.00835
-0.0101,-0.0109,-0.0113,-0.00922,-0.00905
-0.00828,-0.0102,-0.0114,-0.00795,-0.00722
-0.0136,-0.0141,-0.015,-0.0116,-0.00939
-0.0141,-0.0144,-0.0188,-0.0117,-0.00978
-0.00968,-0.01,-0.0143,-0.00563,-0.008490000000000001
-0.0224,-0.021,-0.0277,-0.0192,-0.019
-0.0233,-0.0224,-0.0258,-0.0206,-0.0199
-0.0225,-0.0218,-0.0258,-0.0177,-0.0193
-0.0237,-0.0221,-0.0275,-0.0186,-0.0204
-0.0225,-0.0199,-0.0267,-0.0181,-0.0203
-0.0256,-0.0236,-0.0268,-0.0218,-0.0225
-0.0257,-0.0241,-0.0263,-0.024,-0.0221
-0.00566,-0.00539,-0.00543,-0.00297,-0.00843
-0.0049700000000000005,-0.00394,-0.00865,-0.0022600000000000003,-0.00805
-0.006490000000000001,-0.00543,-0.0123,-0.0055,-0.00852
