revenue_all,revenue_ss40,revenue_ss60,revenue_ss65,revenue_ss70
-0.0201,-0.0153,-0.0172,-0.0343,-0.0193
-0.0151,-0.0119,-0.00852,-0.0273,-0.0129
-0.0116,-0.008459999999999999,-0.000735,-0.0242,-0.00886
-0.009309999999999999,-0.00955,0.00115,-0.0219,-0.00517
-0.00611,-0.00629,-0.0077,-0.0185,0.0029
-0.00307,-0.00402,-0.00672,-0.0121,0.00494
-0.000157,-0.00644,-0.0061600000000000005,-0.0137,0.0165
0.0034200000000000003,-0.00151,0.0052,-0.00882,0.0116
0.00564,-0.00435,0.00855,0.00335,0.0144
-0.0015,-0.00587,-0.00455,-0.0099,0.006840000000000001
0.000678,-0.00132,-0.00515,-0.0039700000000000004,0.00902
0.00563,0.0058,-0.00336,0.000949,0.0125
0.0157,0.025,0.000605,0.00237,0.0246
0.00656,0.0198,-8.170000000000001e-05,0.00399,0.00302
-0.0010400000000000001,0.0137,-0.00494,-0.00402,-0.006520000000000001
-0.00364,0.0125,-0.0128,0.00047999999999999996,-0.00557
-0.00395,0.0102,-0.0113,0.00585,-0.0034200000000000003
0.0113,0.0261,0.00576,0.0243,0.00253
0.0221,0.0351,0.021,0.0295,0.006959999999999999
-0.000296,0.0306,-0.0007440000000000001,-0.000261,-0.007409999999999999
-0.00243,0.0447,-0.009000000000000001,-0.00232,-0.02
0.0213,0.0471,0.0144,0.0211,0.00762
0.0153,0.0326,0.0111,0.0162,0.00569
0.00562,0.0186,0.00419,0.0106,-0.00417
-0.0109,-0.00020099999999999998,-0.0104,-0.0101,-0.013999999999999999
-0.009059999999999999,0.00298,-0.0107,-0.00772,-0.0056
0.0253,0.0186,0.0019,0.028999999999999998,0.0369
0.0595,0.032,0.0169,0.0379,0.125
0.11199999999999999,0.11599999999999999,0.0858,0.133,0.133
0.122,0.134,0.0856,0.135,0.135
0.139,0.158,0.0995,0.14300000000000002,0.145
0.125,0.142,0.0903,0.132,0.136
0.113,0.133,0.0873,0.129,0.11
0.0944,0.121,0.0719,0.115,0.0809
0.0584,0.0782,0.0577,0.106,0.0178
-0.0143,0.00179,-0.0192,-0.0124,-0.0279
0.0458,0.0604,0.0632,0.10099999999999999,-0.00355
0.0412,0.0522,0.0563,0.0971,-0.00473
0.0636,0.0777,0.0813,0.124,0.00555
0.0592,0.0702,0.0676,0.11699999999999999,0.0105
0.0511,0.0605,0.061,0.11800000000000001,0.00471
0.0484,0.0596,0.0608,0.121,-0.00231
-0.0174,-0.0201,-0.0149,-0.00173,-0.0172
-0.0239,-0.0132,-0.0297,-0.013999999999999999,-0.0246
-0.0116,-0.0017699999999999999,-0.0219,-0.0163,-0.0246
-0.0328,-0.0157,-0.0491,-0.0393,-0.0295
-0.0301,-0.0113,-0.0543,-0.0515,-0.0315
-0.00732,0.0359,-0.0416,-0.0431,-0.0264
-0.0304,0.0298,-0.0575,-0.0802,-0.0411
