case_rate,new_case_rate
0.0015199999999999999,0.000174
0.0015199999999999999,0.000174
0.0015199999999999999,0.000174
0.00183,0.000218
0.00213,0.000218
0.00244,0.000218
0.00335,0.000261
0.00335,0.000261
0.00335,0.000261
0.00366,0.000305
0.00366,0.000261
0.00366,0.000218
0.00366,0.000174
0.00366,4.35e-05
0.00396,8.7e-05
0.00396,8.7e-05
0.00427,8.7e-05
0.00457,0.000131
0.00457,0.000131
0.00457,0.000131
0.00457,0.000131
0.00762,0.000522
0.00762,0.000522
0.00762,0.000479
0.00823,0.000522
0.00914,0.000653
0.00914,0.000653
0.00914,0.000653
0.0131,0.0007830000000000001
0.0137,0.0008699999999999999
0.0183,0.0015199999999999999
0.0183,0.00144
0.0198,0.0015199999999999999
0.0213,0.0017399999999999998
0.0268,0.00252
0.0317,0.00265
0.0381,0.0034799999999999996
0.049,0.0044
0.0695,0.00731
0.0947,0.0107
0.13,0.0156
0.16699999999999998,0.02
0.228,0.027999999999999997
0.31,0.0389
0.385,0.048
0.508,0.0627
0.677,0.0831
0.8809999999999999,0.107
1.09,0.132
1.37,0.163
1.8,0.212
2.54,0.308
3.77,0.466
5.48,0.6859999999999999
7.46,0.94
10.1,1.28
13.2,1.69
16.4,2.09
20.9,2.62
26.0,3.18
31.3,3.69
37.7,4.32
43.3,4.76
49.9,5.23
57.3,5.84
65.5,6.37
74.5,6.93
84.3,7.58
95.0,8.18
103.0,8.49
112.0,8.9
121.0,9.16
131.0,9.37
142.0,9.58
152.0,9.63
161.0,9.48
170.0,9.54
177.0,9.32
186.0,9.16
195.0,9.09
204.0,8.96
214.0,8.87
222.0,8.73
230.0,8.66
239.0,8.73
246.0,8.69
255.0,8.64
265.0,8.72
276.0,8.95
287.0,9.21
295.0,9.27
302.0,9.09
310.0,9.03
318.0,8.94
327.0,8.8
337.0,8.68
346.0,8.46
354.0,8.43
361.0,8.38
368.0,8.34
375.0,8.25
384.0,8.17
392.0,7.89
400.0,7.7
406.0,7.45
412.0,7.26
418.0,7.2
425.0,7.05
433.0,6.98
441.0,6.92
448.0,6.87
454.0,6.81
461.0,6.99
467.0,6.93
474.0,7.02
482.0,6.96
489.0,6.86
496.0,6.8
502.0,6.84
508.0,6.72
513.0,6.63
519.0,6.44
526.0,6.3
533.0,6.33
540.0,6.38
547.0,6.41
553.0,6.53
560.0,6.61
566.0,6.66
572.0,6.61
581.0,6.79
588.0,6.74
593.0,6.66
599.0,6.5
604.0,6.41
611.0,6.53
618.0,6.62
626.0,6.47
634.0,6.6
640.0,6.62
646.0,6.71
653.0,6.97
661.0,7.1
670.0,7.31
679.0,7.54
689.0,7.83
697.0,8.15
706.0,8.6
717.0,9.04
728.0,9.53
740.0,10.0
754.0,10.7
766.0,11.1
778.0,11.7
790.0,12.1
805.0,12.6
820.0,13.2
837.0,13.9
855.0,14.4
870.0,14.8
883.0,15.0
898.0,15.3
914.0,15.6
932.0,16.0
950.0,16.2
971.0,16.6
989.0,17.1
1007.0,17.7
1026.0,18.3
1046.0,18.8
1066.0,19.2
1089.0,19.9
1111.0,20.0
1130.0,20.0
1148.0,20.2
1167.0,20.1
1186.0,20.1
1207.0,20.2
1229.0,19.9
1251.0,20.0
1271.0,20.2
1287.0,19.9
1305.0,19.8
1324.0,19.7
1345.0,19.6
1366.0,19.6
1387.0,19.4
1403.0,18.9
1419.0,18.8
1433.0,18.3
1449.0,17.8
1466.0,17.3
1483.0,16.8
1501.0,16.4
1518.0,16.4
1533.0,16.2
1547.0,16.2
1563.0,16.2
1579.0,16.2
1595.0,16.1
1613.0,16.0
1629.0,15.8
1641.0,15.5
1652.0,15.1
1665.0,14.7
1678.0,14.2
1692.0,13.8
1707.0,13.4
1720.0,13.1
1730.0,12.7
1742.0,12.8
1754.0,12.7
1768.0,12.8
1782.0,12.7
1796.0,12.7
1809.0,12.6
1819.0,12.7
1830.0,12.5
1843.0,12.7
1853.0,12.2
1867.0,12.2
1883.0,12.5
1896.0,12.4
1905.0,12.3
1912.0,11.7
1921.0,11.1
1931.0,11.2
1942.0,10.8
1957.0,10.6
1969.0,10.4
1979.0,10.5
1990.0,11.1
2002.0,11.5
2013.0,11.8
2027.0,12.1
2042.0,12.1
2054.0,12.2
2065.0,12.3
2081.0,13.1
2093.0,13.0
2105.0,13.1
2119.0,13.1
2135.0,13.3
2148.0,13.4
2159.0,13.4
2170.0,12.7
2183.0,12.9
2196.0,12.9
2210.0,13.0
2226.0,13.0
2240.0,13.2
2251.0,13.1
2270.0,14.2
2282.0,14.2
2299.0,14.7
2316.0,15.1
2333.0,15.4
2349.0,15.5
2362.0,16.0
2377.0,15.3
2393.0,15.8
2411.0,16.1
2431.0,16.5
2452.0,17.0
2468.0,17.1
2483.0,17.2
2502.0,17.9
2521.0,18.2
