year,month,day,freq,spend_all,spend_apg,spend_aer,spend_grf,spend_hcs,spend_acf,spend_tws,spend_retail_no_grocery,spend_retail_w_grocery,spend_all_inclow,spend_all_incmiddle,spend_all_inchigh,provisional
2020,1,13,d,-0.00301,-0.00315,-0.0335,0.0113,-0.0262,-0.0041,0.00912,0.000825,0.00444,-0.00248,-0.00518,-0.000958,0
2020,1,14,d,-0.000435,-0.00432,-0.0511,0.0124,0.00826,-0.00188,-0.00121,0.00268,0.00609,-0.00084,-0.00316,0.00256,0
2020,1,15,d,0.0154,-0.00182,0.033,0.0148,0.0388,-0.000584,0.00906,0.00359,0.00757,0.0169,0.0135,0.0178,0
2020,1,16,d,0.0227,-0.000329,0.044,0.0201,0.0358,0.00295,0.0186,0.00614,0.0112,0.028,0.0219,0.0223,0
2020,1,17,d,0.00132,-0.0168,0.0248,-0.0138,0.0229,-0.0051,0.0164,-0.012,-0.0126,0.00593,-0.00167,0.00401,0
2020,1,18,d,0.0013,-0.0201,0.0466,-0.0264,0.0188,-0.00728,0.0134,-0.0138,-0.0183,0.0102,-0.00254,0.00302,0
2020,1,19,d,0.011,-0.0139,0.0515,-0.017,0.0152,0.00372,0.0125,-0.00897,-0.0116,0.02,0.00823,0.0112,0
2020,1,20,d,0.0252,-0.00151,0.0509,0.012,0.0158,0.0109,0.0337,0.00454,0.00741,0.0319,0.0234,0.026,0
2020,1,21,d,0.0124,-0.0124,0.0404,-0.00181,0.0258,0.00118,0.0172,-0.0049,-0.00361,0.0189,0.00955,0.0149,0
2020,1,22,d,-0.000322,-0.0229,-0.0362,-0.0209,0.0272,-0.0145,0.0107,-0.0131,-0.0157,0.00517,-0.00231,0.000489,0
2020,1,23,d,-0.0132,-0.0177,-0.0283,-0.0296,0.0131,-0.0138,0.00266,-0.0142,-0.0195,-0.0122,-0.0146,-0.0116,0
2020,1,24,d,0.00945,0.00242,0.00356,0.00535,0.0198,0.0065,0.00598,0.00543,0.0055,0.0113,0.0101,0.00832,0
2020,1,25,d,0.0173,0.0192,0.0123,0.0256,0.0118,0.0174,0.00961,0.0145,0.0183,0.0164,0.0194,0.0152,0
2020,1,26,d,0.00529,0.00343,-0.00458,0.00927,0.00434,-0.000177,0.00829,0.00435,0.00599,0.00234,0.00564,0.00647,0
2020,1,27,d,-0.00875,-0.00813,-0.0000715,-0.0246,0.00108,-0.00674,-0.0124,-0.00547,-0.0123,-0.0127,-0.00787,-0.00801,0
2020,1,28,d,-0.0123,-0.00404,0.00563,-0.0351,-0.00335,-0.00368,-0.0123,-0.00185,-0.0136,-0.015,-0.0102,-0.0147,0
2020,1,29,d,-0.00813,0.018,0.0188,-0.00828,-0.0503,0.0231,-0.0145,0.00833,0.00251,-0.0111,-0.00476,-0.0112,0
2020,1,30,d,0.00565,0.0261,0.00967,0.0119,-0.028,0.0276,-0.0141,0.0161,0.0147,0.0036,0.0098,0.00177,0
2020,1,31,d,0.0098,0.0324,0.0154,0.0223,-0.0211,0.0207,-0.00833,0.0175,0.0193,0.00929,0.0136,0.00586,0
2020,2,1,d,-0.000368,0.0262,-0.0135,0.0209,-0.0154,0.014,-0.0104,0.0144,0.0168,-0.00289,0.00188,-0.00222,0
